# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/Windows-1270


# characters 0x00-0x7f as in code page 437

0x80	0x20ac	#EURO SIGN
0x81		#UNDEFINED
0x82	0x010c  #LATIN CAPITAL LETTER C WITH CARON
0x83	0x0192  #LATIN SMALL LETTER F WITH HOOK
0x84	0x010d  #LATIN SMALL LETTER C WITH CARON
0x85	0x01b7  #LATIN CAPITAL LETTER EZH
0x86	0x0292  #LATIN SMALL LETTER EZH
0x87	0x01ee  #LATIN CAPITAL LETTER EZH WITH CARON
0x88	0x01ef  #LATIN SMALL LETTER EZH WITH CARON
0x89	0x0110  #LATIN CAPITAL LETTER D WITH STROKE
0x8a	0x0160  #LATIN CAPITAL LETTER S WITH CARON
0x8b	0x2039  #SINGLE LEFT-POINTING ANGLE QUOTATION MARK
0x8c	0x0152  #LATIN CAPITAL LIGATURE OE
0x8d		#UNDEFINED
0x8e		#UNDEFINED
0x8f		#UNDEFINED
0x90		#UNDEFINED
0x91	0x2018  #LEFT SINGLE QUOTATION MARK
0x92	0x2019  #RIGHT SINGLE QUOTATION MARK
0x93	0x201c  #LEFT DOUBLE QUOTATION MARK
0x94	0x201d  #RIGHT DOUBLE QUOTATION MARK
0x95	0x2022  #BULLET
0x96	0x2013  #EN DASH
0x97	0x2014  #EM DASH
0x98	0x0111  #LATIN SMALL LETTER D WITH STROKE
0x99	0x01e6  #LATIN CAPITAL LETTER G WITH CARON
0x9a	0x0161  #LATIN SMALL LETTER S WITH CARON
0x9b	0x203a  #SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
0x9c	0x0153  #LATIN SMALL LIGATURE OE
0x9d		#UNDEFINED
0x9e		#UNDEFINED
0x9f	0x0178  #LATIN CAPITAL LETTER Y WITH DIAERESIS
0xa0	0x00a0  #NO-BREAK SPACE
0xa1	0x01e7  #LATIN SMALL LETTER G WITH CARON
0xa2	0x01e4  #LATIN CAPITAL LETTER G WITH STROKE
0xa3	0x00a3  #POUND SIGN
0xa4	0x00a4  #CURRENCY SIGN
0xa5	0x01e5  #LATIN SMALL LETTER G WITH STROKE
0xa6	0x00a6  #BROKEN VERTICAL BAR
0xa7	0x00a7  #SECTION SIGN
0xa8	0x00a8  #DIAERESIS
0xa9	0x00a9  #COPYRIGHT SIGN
0xaa	0x021e  #LATIN CAPITAL LETTER H WITH CARON
0xab	0x00ab  #LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xac	0x00ac  #NOT SIGN
0xad	0x00ad  #SOFT HYPHEN
0xae	0x00ae  #REGISTERED SIGN
0xaf	0x021f  #LATIN SMALL LETTER H WITH CARON
