# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/Code_page_912
#            https://en.wikipedia.org/wiki/ISO/IEC_8859-2


# characters 0x00-0x7f as in code page 437

0x80	0x2591	#LIGHT SHADE
0x81	0x2592	#MEDIUM SHADE
0x82	0x2593	#DARK SHADE
0x83	0x2502	#BOX DRAWINGS LIGHT VERTICAL
0x84	0x2524	#BOX DRAWINGS LIGHT VERTICAL AND LEFT
0x85	0x2518	#BOX DRAWINGS LIGHT UP AND LEFT
0x86	0x250c	#BOX DRAWINGS LIGHT DOWN AND RIGHT
0x87	0x2588	#FULL BLOCK
0x88	0x00a9	#COPYRIGHT SIGN
0x89	0x2563	#BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0x8a	0x2551	#BOX DRAWINGS DOUBLE VERTICAL
0x8b	0x2557	#BOX DRAWINGS DOUBLE DOWN AND LEFT
0x8c	0x255d	#BOX DRAWINGS DOUBLE UP AND LEFT
0x8d	0x00a2	#CENT SIGN
0x8e	0x00a5	#YEN SIGN
0x8f	0x2510	#BOX DRAWINGS LIGHT DOWN AND LEFT
0x90	0x2514	#BOX DRAWINGS LIGHT UP AND RIGHT
0x91	0x2534	#BOX DRAWINGS LIGHT UP AND HORIZONTAL
0x92	0x252c	#BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0x93	0x251c	#BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0x94	0x2500	#BOX DRAWINGS LIGHT HORIZONTAL
0x95	0x253c	#BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0x96	0x2584	#LOWER HALF BLOCK
0x97	0x2580	#UPPER HALF BLOCK
0x98	0x255a	#BOX DRAWINGS DOUBLE UP AND RIGHT
0x99	0x2554	#BOX DRAWINGS DOUBLE DOWN AND RIGHT
0x9a	0x2569	#BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0x9b	0x2566	#BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
0x9c	0x2560	#BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0x9d	0x2550	#BOX DRAWINGS DOUBLE HORIZONTAL
0x9e	0x256c	#BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0x9f	0x00ae	#REGISTERED SIGN
0xa0	0x00a0	#NO-BREAK SPACE
0xa1	0x0104	#LATIN CAPITAL LETTER A WITH OGONEK
0xa2	0x02d8	#BREVE
0xa3	0x0141	#LATIN CAPITAL LETTER L WITH STROKE
0xa4	0x00a4	#CURRENCY SIGN
0xa5	0x013d	#LATIN CAPITAL LETTER L WITH CARON
0xa6	0x015a	#LATIN CAPITAL LETTER S WITH ACUTE
0xa7	0x00a7	#SECTION SIGN
0xa8	0x00a8	#DIAERESIS
0xa9	0x0160	#LATIN CAPITAL LETTER S WITH CARON
0xaa	0x015e	#LATIN CAPITAL LETTER S WITH CEDILLA
0xab	0x0164	#LATIN CAPITAL LETTER T WITH CARON
0xac	0x0179	#LATIN CAPITAL LETTER Z WITH ACUTE
0xad	0x00ad	#SOFT HYPHEN
0xae	0x017d	#LATIN CAPITAL LETTER Z WITH CARON
0xaf	0x017b	#LATIN CAPITAL LETTER Z WITH DOT ABOVE
0xb0	0x00b0	#DEGREE SIGN
0xb1	0x0105	#LATIN SMALL LETTER A WITH OGONEK
0xb2	0x02db	#OGONEK
0xb3	0x0142	#LATIN SMALL LETTER L WITH STROKE
0xb4	0x00b4	#ACUTE ACCENT
0xb5	0x013e	#LATIN SMALL LETTER L WITH CARON
0xb6	0x015b	#LATIN SMALL LETTER S WITH ACUTE
0xb7	0x02c7	#CARON
0xb8	0x00b8	#CEDILLA
0xb9	0x0161	#LATIN SMALL LETTER S WITH CARON
0xba	0x015f	#LATIN SMALL LETTER S WITH CEDILLA
0xbb	0x0165	#LATIN SMALL LETTER T WITH CARON
0xbc	0x017a	#LATIN SMALL LETTER Z WITH ACUTE
0xbd	0x02dd	#DOUBLE ACUTE ACCENT
0xbe	0x017e	#LATIN SMALL LETTER Z WITH CARON
0xbf	0x017c	#LATIN SMALL LETTER Z WITH DOT ABOVE
0xc0	0x0154	#LATIN CAPITAL LETTER R WITH ACUTE
0xc1	0x00c1	#LATIN CAPITAL LETTER A WITH ACUTE
0xc2	0x00c2	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0xc3	0x0102	#LATIN CAPITAL LETTER A WITH BREVE
0xc4	0x00c4	#LATIN CAPITAL LETTER A WITH DIAERESIS
0xc5	0x0139	#LATIN CAPITAL LETTER L WITH ACUTE
0xc6	0x0106	#LATIN CAPITAL LETTER C WITH ACUTE
0xc7	0x00c7	#LATIN CAPITAL LETTER C WITH CEDILLA
0xc8	0x010c	#LATIN CAPITAL LETTER C WITH CARON
0xc9	0x00c9	#LATIN CAPITAL LETTER E WITH ACUTE
0xca	0x0118	#LATIN CAPITAL LETTER E WITH OGONEK
0xcb	0x00cb	#LATIN CAPITAL LETTER E WITH DIAERESIS
0xcc	0x011a	#LATIN CAPITAL LETTER E WITH CARON
0xcd	0x00cd	#LATIN CAPITAL LETTER I WITH ACUTE
0xce	0x00ce	#LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0xcf	0x010e	#LATIN CAPITAL LETTER D WITH CARON
0xd0	0x0110	#LATIN CAPITAL LETTER D WITH STROKE
0xd1	0x0143	#LATIN CAPITAL LETTER N WITH ACUTE
0xd2	0x0147	#LATIN CAPITAL LETTER N WITH CARON
