# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/ISO/IEC_8859-11
#            https://learn.microsoft.com/en-us/windows/win32/intl/code-page-identifiers


# characters 0x00-0x7f as in code page 437

0x80		#UNDEFINED
0x81		#UNDEFINED
0x82		#UNDEFINED
0x83		#UNDEFINED
0x84		#UNDEFINED
0x85		#UNDEFINED
0x86		#UNDEFINED
0x87		#UNDEFINED
0x88		#UNDEFINED
0x89		#UNDEFINED
0x8a		#UNDEFINED
0x8b		#UNDEFINED
0x8c		#UNDEFINED
0x8d		#UNDEFINED
0x8e		#UNDEFINED
0x8f		#UNDEFINED
0x90		#UNDEFINED
0x91		#UNDEFINED
0x92		#UNDEFINED
0x93		#UNDEFINED
0x94		#UNDEFINED
0x95		#UNDEFINED
0x96		#UNDEFINED
0x97		#UNDEFINED
0x98		#UNDEFINED
0x99		#UNDEFINED
0x9a		#UNDEFINED
0x9b		#UNDEFINED
0x9c		#UNDEFINED
0x9d		#UNDEFINED
0x9e		#UNDEFINED
0x9f		#UNDEFINED
0xa0	0x00a0  #NO-BREAK SPACE
0xa1	0x0e01  #THAI CHARACTER KO KAI
0xa2	0x0e02  #THAI CHARACTER KHO KHAI
0xa3	0x0e03  #THAI CHARACTER KHO KHUAT
0xa4	0x0e04  #THAI CHARACTER KHO KHWAI
0xa5	0x0e05  #THAI CHARACTER KHO KHON
0xa6	0x0e06  #THAI CHARACTER KHO RAKHANG
0xa7	0x0e07  #THAI CHARACTER NGO NGU
0xa8	0x0e08  #THAI CHARACTER CHO CHAN
0xa9	0x0e09  #THAI CHARACTER CHO CHING
0xaa	0x0e0a  #THAI CHARACTER CHO CHANG
0xab	0x0e0b  #THAI CHARACTER SO SO
0xac	0x0e0c  #THAI CHARACTER CHO CHOE
0xad	0x0e0d  #THAI CHARACTER YO YING
0xae	0x0e0e  #THAI CHARACTER DO CHADA
0xaf	0x0e0f  #THAI CHARACTER TO PATAK
0xb0	0x0e10  #THAI CHARACTER THO THAN
0xb1	0x0e11  #THAI CHARACTER THO NANGMONTHO
0xb2	0x0e12  #THAI CHARACTER THO PHUTHAO
0xb3	0x0e13  #THAI CHARACTER NO NEN
0xb4	0x0e14  #THAI CHARACTER DO DEK
0xb5	0x0e15  #THAI CHARACTER TO TAO
0xb6	0x0e16  #THAI CHARACTER THO THUNG
0xb7	0x0e17  #THAI CHARACTER THO THAHAN
0xb8	0x0e18  #THAI CHARACTER THO THONG
0xb9	0x0e19  #THAI CHARACTER NO NU
0xba	0x0e1a  #THAI CHARACTER BO BAIMAI
0xbb	0x0e1b  #THAI CHARACTER PO PLA
0xbc	0x0e1c  #THAI CHARACTER PHO PHUNG
0xbd	0x0e1d  #THAI CHARACTER FO FA
0xbe	0x0e1e  #THAI CHARACTER PHO PHAN
0xbf	0x0e1f  #THAI CHARACTER FO FAN
0xc0	0x0e20  #THAI CHARACTER PHO SAMPHAO
0xc1	0x0e21  #THAI CHARACTER MO MA
0xc2	0x0e22  #THAI CHARACTER YO YAK
0xc3	0x0e23  #THAI CHARACTER RO RUA
0xc4	0x0e24  #THAI CHARACTER RU
0xc5	0x0e25  #THAI CHARACTER LO LING
0xc6	0x0e26  #THAI CHARACTER LU
0xc7	0x0e27  #THAI CHARACTER WO WAEN
0xc8	0x0e28  #THAI CHARACTER SO SALA
0xc9	0x0e29  #THAI CHARACTER SO RUSI
0xca	0x0e2a  #THAI CHARACTER SO SUA
0xcb	0x0e2b  #THAI CHARACTER HO HIP
0xcc	0x0e2c  #THAI CHARACTER LO CHULA
0xcd	0x0e2d  #THAI CHARACTER O ANG
0xce	0x0e2e  #THAI CHARACTER HO NOKHUK
0xcf	0x0e2f  #THAI CHARACTER PAIYANNOI
0xd0	0x0e30  #THAI CHARACTER SARA A
0xd1	0x0e31  #THAI CHARACTER MAI HAN-AKAT
0xd2	0x0e32  #THAI CHARACTER SARA AA
0xd3	0x0e33  #THAI CHARACTER SARA AM
0xd4	0x0e34  #THAI CHARACTER SARA I
0xd5	0x0e35  #THAI CHARACTER SARA II
0xd6	0x0e36  #THAI CHARACTER SARA UE
0xd7	0x0e37  #THAI CHARACTER SARA UEE
0xd8	0x0e38  #THAI CHARACTER SARA U
0xd9	0x0e39  #THAI CHARACTER SARA UU
0xda	0x0e3a  #THAI CHARACTER PHINTHU
0xdb		#UNDEFINED
0xdc		#UNDEFINED
0xdd		#UNDEFINED
0xde		#UNDEFINED
0xdf	0x0e3f  #THAI CURRENCY SYMBOL BAHT
0xe0	0x0e40  #THAI CHARACTER SARA E
0xe1	0x0e41  #THAI CHARACTER SARA AE
