# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/LST_1590-4


# characters 0x00-0x7f as in code page 437


0x80	0x20ac              	#EURO SIGN
0x81		#UNDEFINED
0x82	0x0251              	#LATIN SMALL LETTER ALPHA
0x83	0x0254              	#LATIN SMALL LETTER OPEN O
0x84	0x201e              	#DOUBLE LOW-9 QUOTATION MARK
0x85	0x0259              	#LATIN SMALL LETTER SCHWA
0x86	0x025c              	#LATIN SMALL LETTER REVERSED OPEN E
0x87	0x0261              	#LATIN SMALL LETTER SCRIPT G
0x88	0x026a              	#LATIN LETTER SMALL CAPITAL I
0x89	0x014b              	#LATIN SMALL LETTER ENG
0x8a	0x03b8              	#GREEK SMALL LETTER THETA
0x8b	0x02c8              	#MODIFIER LETTER VERTICAL LINE
0x8c	0x0283              	#LATIN SMALL LETTER ESH
0x8d		#UNDEFINED
0x8e		#UNDEFINED
0x8f		#UNDEFINED
0x90		#UNDEFINED
0x91	0x2018              	#LEFT SINGLE QUOTATION MARK
0x92	0x2019              	#RIGHT SINGLE QUOTATION MARK
0x93	0x201c              	#LEFT DOUBLE QUOTATION MARK
0x94	0x201d              	#RIGHT DOUBLE QUOTATION MARK
0x95	0x2022              	#BULLET
0x96	0x2013              	#EN DASH
0x97	0x2014              	#EM DASH
0x98	0x028a              	#LATIN SMALL LETTER UPSILON
0x99	0x028c              	#LATIN SMALL LETTER TURNED V
0x9a	0x0292              	#LATIN SMALL LETTER EZH
0x9b	0x02cc              	#MODIFIER LETTER LOW VERTICAL LINE
0x9c	0x00e6              	#LATIN SMALL LIGATURE AE
0x9d		#UNDEFINED
0x9e		#UNDEFINED
0x9f	0x00f0              	#LATIN SMALL LETTER ETH
0xa0	0x00a0              	#NO-BREAK SPACE
0xa1	0x0104 0x0303       	#LATIN CAPITAL LETTER A WITH OGONEK, COMBINING TILDE
0xa2	0x0118 0x0301       	#LATIN CAPITAL LETTER E WITH OGONEK, COMBINING ACUTE ACCENT
0xa3	0x0118 0x0303       	#LATIN CAPITAL LETTER E WITH OGONEK, COMBINING TILDE
0xa4	0x0069 0x0307 0x0303	#LATIN SMALL LETTER I, COMBINING DOT ABOVE, COMBINING TILDE
0xa5	0x004c 0x0303       	#LATIN CAPITAL LETTER L, COMBINING TILDE
0xa6	0x004d 0x0303       	#LATIN CAPITAL LETTER M, COMBINING TILDE
0xa7	0x006d 0x0303       	#LATIN SMALL LETTER M, COMBINING TILDE
0xa8	0x0116 0x0301       	#LATIN CAPITAL LETTER E WITH DOT ABOVE, COMBINING ACUTE ACCENT
0xa9	0x00d1              	#LATIN CAPITAL LETTER N WITH TILDE
0xaa	0x0116 0x0303       	#LATIN CAPITAL LETTER E WITH DOT ABOVE, COMBINING TILDE
0xab	0x0052 0x0303       	#LATIN CAPITAL LETTER R, COMBINING TILDE
0xac	0x0172 0x0301       	#LATIN CAPITAL LETTER U WITH OGONEK, COMBINING ACUTE ACCENT
0xad	0x00ad              	#SOFT HYPHEN
