# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/KOI8-O


# characters 0x00-0x7f as in code page 437

0x80	0x0402	#CYRILLIC CAPITAL LETTER DJE
0x81	0x0403	#CYRILLIC CAPITAL LETTER GJE
0x82	0x00b8	#CEDILLA
0x83	0x0453	#CYRILLIC SMALL LETTER GJE
0x84	0x2026	#HORIZONTAL ELLIPSIS
0x85	0x2518	#BOX DRAWINGS LIGHT UP AND LEFT
0x86	0x2020	#DAGGER
0x87	0x00a7	#SECTION SIGN
0x88	0x20ac	#EURO SIGN
0x89	0x00a8	#DIAERESIS
0x8a	0x0409	#CYRILLIC CAPITAL LETTER LJE
0x8b	0x2039	#SINGLE LEFT-POINTING ANGLE QUOTATION MARK
0x8c	0x040a	#CYRILLIC CAPITAL LETTER NJE
0x8d	0x040c	#CYRILLIC CAPITAL LETTER KJE
0x8e	0x040b	#CYRILLIC CAPITAL LETTER TSHE
0x8f	0x040f	#CYRILLIC CAPITAL LETTER DZHE
0x90	0x0452	#CYRILLIC SMALL LETTER DJE
0x91	0x2018	#LEFT SINGLE QUOTATION MARK
0x92	0x2019	#RIGHT SINGLE QUOTATION MARK
0x93	0x201c	#LEFT DOUBLE QUOTATION MARK
0x94	0x201d	#RIGHT DOUBLE QUOTATION MARK
0x95	0x2022	#BULLET
0x96	0x2013	#EN DASH
0x97	0x2014	#EM DASH
0x98	0x00a3	#POUND SIGN
0x99	0x00b7	#MIDDLE DOT
0x9a	0x0459	#CYRILLIC SMALL LETTER LJE
0x9b	0x203a	#SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
0x9c	0x045a	#CYRILLIC SMALL LETTER NJE
0x9d	0x045c	#CYRILLIC SMALL LETTER KJE
0x9e	0x045b	#CYRILLIC SMALL LETTER TSHE
0x9f	0x045f	#CYRILLIC SMALL LETTER DZHE
0xa0	0x00a0	#NO-BREAK SPACE
0xa1	0x0475	#CYRILLIC SMALL LETTER IZHITSA
0xa2	0x0463	#CYRILLIC SMALL LETTER YAT
0xa3	0x0451	#CYRILLIC SMALL LETTER IO
0xa4	0x0454	#CYRILLIC SMALL LETTER UKRAINIAN IE
0xa5	0x0455	#CYRILLIC SMALL LETTER DZE
0xa6	0x0456	#CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0xa7	0x0457	#CYRILLIC SMALL LETTER YI
0xa8	0x0458	#CYRILLIC SMALL LETTER JE
0xa9	0x00ae	#REGISTERED SIGN
0xaa	0x2122	#TRADE MARK SIGN
0xab	0x00ab	#LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xac	0x0473	#CYRILLIC SMALL LETTER FITA
0xad	0x0491	#CYRILLIC SMALL LETTER GHE WITH UPTURN
0xae	0x045e	#CYRILLIC SMALL LETTER SHORT U
0xaf	0x00b4	#ACUTE ACCENT
0xb0	0x00b0	#DEGREE SIGN
0xb1	0x0474	#CYRILLIC CAPITAL LETTER IZHITSA
0xb2	0x0462	#CYRILLIC CAPITAL LETTER YAT
0xb3	0x0401	#CYRILLIC CAPITAL LETTER IO
0xb4	0x0404	#CYRILLIC CAPITAL LETTER UKRAINIAN IE
0xb5	0x0405	#CYRILLIC CAPITAL LETTER DZE
0xb6	0x0406	#CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0xb7	0x0407	#CYRILLIC CAPITAL LETTER YI
0xb8	0x0408	#CYRILLIC CAPITAL LETTER JE
0xb9	0x2116	#NUMERO SIGN
0xba	0x00a2	#CENT SIGN
0xbb	0x00bb	#RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xbc	0x0472	#CYRILLIC CAPITAL LETTER FITA
0xbd	0x0490	#CYRILLIC CAPITAL LETTER GHE WITH UPTURN
0xbe	0x040e	#CYRILLIC CAPITAL LETTER SHORT U
0xbf	0x00a9	#COPYRIGHT SIGN
0xc0	0x044e	#CYRILLIC SMALL LETTER YU
