# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/Code_page_708


# characters 0x00-0x7f as in code page 437

0x80	0x2502	#BOX DRAWINGS LIGHT VERTICAL
0x81	0x2524	#BOX DRAWINGS LIGHT VERTICAL AND LEFT
0x82	0x00e9	#LATIN SMALL LETTER E WITH ACUTE
0x83	0x00e2	#LATIN SMALL LETTER A WITH CIRCUMFLEX
0x84	0x2561	#BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
0x85	0x00e0	#LATIN SMALL LETTER A WITH GRAVE
0x86	0x2562	#BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
0x87	0x00e7	#LATIN SMALL LETTER C WITH CEDILLA
0x88	0x00ea	#LATIN SMALL LETTER E WITH CIRCUMFLEX
0x89	0x00eb	#LATIN SMALL LETTER E WITH DIAERESIS
0x8a	0x00e8	#LATIN SMALL LETTER E WITH GRAV
0x8b	0x00ef	#LATIN SMALL LETTER I WITH DIAERESIS
0x8c	0x00ee	#LATIN SMALL LETTER I WITH CIRCUMFLEX
0x8d	0x2556	#BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
0x8e	0x2555	#BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
0x8f	0x2563	#BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0x90	0x2551	#BOX DRAWINGS DOUBLE VERTICAL
0x91	0x2557	#BOX DRAWINGS DOUBLE DOWN AND LEFT
0x92	0x255d	#BOX DRAWINGS DOUBLE UP AND LEFT
0x93	0x00f4	#LATIN SMALL LETTER O WITH CIRCUMFLEX
0x94	0x255c	#BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
0x95	0x255b	#BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
0x96	0x00fb	#LATIN SMALL LETTER U WITH CIRCUMFLEX
0x97	0x00f9	#LATIN SMALL LETTER U WITH GRAVE
0x98	0x2510	#BOX DRAWINGS LIGHT DOWN AND LEFT
0x99	0x2514	#BOX DRAWINGS LIGHT UP AND RIGHT
0x9a		#UNDEFINED
0x9b		#UNDEFINED
0x9c		#UNDEFINED
0x9d		#UNDEFINED
0x9e		#UNDEFINED
0x9f		#UNDEFINED
0xa0		#UNDEFINED
0xa1	0x2534	#BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xa2	0x252c	#BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
