# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/ISO/IEC_8859-3


# characters 0x00-0x7f as in code page 437

0x80		#UNDEFINED
0x81		#UNDEFINED
0x82		#UNDEFINED
0x83		#UNDEFINED
0x84		#UNDEFINED
0x85		#UNDEFINED
0x86		#UNDEFINED
0x87		#UNDEFINED
0x88		#UNDEFINED
0x89		#UNDEFINED
0x8a		#UNDEFINED
0x8b		#UNDEFINED
0x8c		#UNDEFINED
0x8d		#UNDEFINED
0x8e		#UNDEFINED
0x8f		#UNDEFINED
0x90		#UNDEFINED
0x91		#UNDEFINED
0x92		#UNDEFINED
0x93		#UNDEFINED
0x94		#UNDEFINED
0x95		#UNDEFINED
0x96		#UNDEFINED
0x97		#UNDEFINED
0x98		#UNDEFINED
0x99		#UNDEFINED
0x9a		#UNDEFINED
0x9b		#UNDEFINED
0x9c		#UNDEFINED
0x9d		#UNDEFINED
0x9e		#UNDEFINED
0x9f		#UNDEFINED
0xa0	0x00a0  #NO-BREAK SPACE
0xa1	0x0126  #LATIN CAPITAL LETTER H WITH STROKE
0xa2	0x02d8  #BREVE
0xa3	0x00a3  #POUND SIGN
0xa4	0x00a4  #CURRENCY SIGN
0xa5		#UNDEFINED
0xa6	0x0124  #LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0xa7	0x00a7  #SECTION SIGN
0xa8	0x00a8  #DIAERESIS
0xa9	0x0130  #LATIN CAPITAL LETTER I WITH DOT ABOVE
0xaa	0x015e  #LATIN CAPITAL LETTER S WITH CEDILLA
0xab	0x011e  #LATIN CAPITAL LETTER G WITH BREVE
0xac	0x0134  #LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0xad	0x00ad  #SOFT HYPHEN
0xae		#UNDEFINED
0xaf	0x017b  #LATIN CAPITAL LETTER Z WITH DOT ABOVE
0xb0	0x00b0  #DEGREE SIGN
0xb1	0x0127  #LATIN SMALL LETTER H WITH STROKE
0xb2	0x00b2  #SUPERSCRIPT TWO
0xb3	0x00b3  #SUPERSCRIPT THREE
0xb4	0x00b4  #ACUTE ACCENT
0xb5	0x00b5  #MICRO SIGN
0xb6	0x0125  #LATIN SMALL LETTER H WITH CIRCUMFLEX
0xb7	0x00b7  #MIDDLE DOT
0xb8	0x00b8  #CEDILLA
0xb9	0x0131  #LATIN SMALL LETTER DOTLESS I
0xba	0x015f  #LATIN SMALL LETTER S WITH CEDILLA
0xbb	0x011f  #LATIN SMALL LETTER G WITH BREVE
0xbc	0x0135  #LATIN SMALL LETTER J WITH CIRCUMFLEX
0xbd	0x00bd  #VULGAR FRACTION ONE HALF
0xbe		#UNDEFINED
0xbf	0x017c  #LATIN SMALL LETTER Z WITH DOT ABOVE
0xc0	0x00c0  #LATIN CAPITAL LETTER A WITH GRAVE
0xc1	0x00c1  #LATIN CAPITAL LETTER A WITH ACUTE
0xc2	0x00c2  #LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0xc3		#UNDEFINED
0xc4	0x00c4  #LATIN CAPITAL LETTER A WITH DIAERESIS
0xc5	0x010a  #LATIN CAPITAL LETTER C WITH DOT ABOVE
0xc6	0x0108  #LATIN CAPITAL LETTER C WITH CIRCUMFLEX
0xc7	0x00c7  #LATIN CAPITAL LETTER C WITH CEDILLA
0xc8	0x00c8  #LATIN CAPITAL LETTER E WITH GRAVE
0xc9	0x00c9  #LATIN CAPITAL LETTER E WITH ACUTE
0xca	0x00ca  #LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0xcb	0x00cb  #LATIN CAPITAL LETTER E WITH DIAERESIS
0xcc	0x00cc  #LATIN CAPITAL LETTER I WITH GRAVE
0xcd	0x00cd  #LATIN CAPITAL LETTER I WITH ACUTE
0xce	0x00ce  #LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0xcf	0x00cf  #LATIN CAPITAL LETTER I WITH DIAERESIS
0xd0		#UNDEFINED
0xd1	0x00d1  #LATIN CAPITAL LETTER N WITH TILDE
0xd2	0x00d2  #LATIN CAPITAL LETTER O WITH GRAVE
0xd3	0x00d3  #LATIN CAPITAL LETTER O WITH ACUTE
0xd4	0x00d4  #LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xd5	0x0120  #LATIN CAPITAL LETTER G WITH DOT ABOVE
0xd6	0x00d6  #LATIN CAPITAL LETTER O WITH DIAERESIS
